OBJECTID,ZONEID,Zone,Contract Rezone Number,Ordinance Number,Effective Date,Historic District Overlay,Pedestrian Overlay,Shoreline Overlay,Other District Overlay,Station Area Overlay,Mandatory Housing Affordability Apply (Y/N),Incentive Zoning Apply (Y/N),Mandatory Housing Affordability Tier,Major Institution Name,Class,Category,Detail Code,Detail,Group,Zoning Description,Base Zone,Previous Zone,Previous Contract Rezone Number,Previous Ordinance Number,Previous Effective Date,Previous Historic District Overlay,Previous Pedestrian Overlay,Previous Shoreline Overlay,Previous Other District Overlay,Previous Station Area Overlay,Class Description Popup,Land Use Code Chapter,Land Use Code Chapter Link,Zoning History
11,4511,LR3 (M), ,125791,4/19/2019 8:00:00 AM, , , , ,BH,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 8:00:00 AM, , , , ,BH,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019; LR3,ORD123495,04/19/2011; L-3,ORD120453,08/30/2001; L-3"
12,4512,LR3 (M), ,125791,4/19/2019 8:00:00 AM, , , ,SG, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 8:00:00 AM, , , ,SG, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019; LR3,ORD123495,04/19/2011; L-3"
13,8138,LR1 (M), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M),ORD127219,06/27/2025; LR1 (M),ORD125791,04/19/2019; LR1,ORD123495,04/19/2011; L-1"
14,7921,LR1 (M), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M),ORD127219,06/27/2025; LR1 (M),ORD125791,04/19/2019; LR1,ORD123495,04/19/2011; LDT,ORD115871"
15,4783,LR2 (M), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR2,Lowrise 2,Lowrise 2,Lowrise 2,LR2,LR2, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR2 (M),ORD125791,04/19/2019; LR2,ORD123495,04/19/2011; L-1"
16,4785,LR3 (M), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019; LR3,ORD123495,04/19/2011; L-3"
17,4787,LR3 (M), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019; LR3,ORD123495,04/19/2011; L-3"
18,4792,LR3 (M1), ,125791,4/19/2019 8:00:00 AM, , , , , ,Y,N,M1,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR1, ,123495,4/19/2011 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M1),ORD125791,04/19/2019; LR1,ORD123495,04/19/2011; LDT"
19,4514,LR3 (M), ,125791,4/19/2019 8:00:00 AM, , , ,SS, ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR3,Lowrise 3,Lowrise 3,Lowrise 3,LR3,LR3, ,123495,4/19/2011 8:00:00 AM, , , ,SS, ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR3 (M),ORD125791,04/19/2019; LR3,ORD123495,04/19/2011; L-3"
20,7535,LR1 (M), ,127219,6/27/2025 8:00:00 AM, , , , , ,Y,N,M,,Multi-Family,Lowrise Multi-Family,LR1,Lowrise 1,Lowrise 1,Lowrise 1,LR1,LR1 (M), ,125791,4/19/2019 8:00:00 AM, , , , , ,"is a multifamily residential zone where residential development such as townhouses, rowhouses, and apartments are allowed.",Chapter 23.45,https://library.municode.com/wa/seattle/codes/municipal_code?nodeId=TIT23LAUSCO_SUBTITLE_IIILAUSRE_CH23.45MU,"LR1 (M),ORD127219,06/27/2025; LR1 (M),ORD125791,04/19/2019; LR1,ORD123495,04/19/2011; LDT"
